"datum","neu_positive_tests"
"2020-02-26",2
"2020-02-27",3
"2020-02-28",6
"2020-03-01",3
"2020-03-02",5
"2020-03-03",8
"2020-03-04",13
"2020-03-05",16
"2020-03-06",21
"2020-03-07",17
"2020-03-08",31
"2020-03-09",26
"2020-03-10",65
"2020-03-11",96
"2020-03-12",131
"2020-03-13",182
"2020-03-14",174
"2020-03-15",203
"2020-03-16",281
"2020-03-17",314
"2020-03-18",332
